Filename,Speaker,Gender,Word,Word_beg,Word_end,Word_dur_ms,SyllPos,SyllStr,SyllIPA,Stress,Begin,End,Duration_in_ms,Max_dB,Min_dB,Mean_dB,Centre_mean_dB,MaxF0Hz,MinF0Hz,MeanF0,Centre_MeanF0,Language,SuffixCase,WordForm,LatinScript,Gloss,WordClass,StressedSyll,NounGender,Declension,StressShift,ShiftDirect,AttestedInCS,HasPause,HasGeminates,NormDur,NormInt,NormF0,NormMax_dB,NormMin_dB,NormMaxFOHz,NormMinFOHz,SyllType
Speaker_3_male_additional,Speaker_3,male,апрель,264.9597440934831,265.4688525958906,509.10850240751415,s2,ccvc,prʲelʲ,stressed,265.0896353878314,265.4688525958906,379.21720805923087,65.28111056983923,48.14861682366266,59.56523799438797,63.3933140216798,105.79857887167128,80.10881588532091,95.57270337067806,90.22415856542662,CS,NA,uninflected,aprel',april,Noun,2,m,2,no,na,yes,,,1.8622619093092152,-1.2312245304997083,-1.0698713057139975,-1.650223302228199,-0.7571986846650616,-1.053936964168058,-1.1502531844843635,heavy
Speaker_3_male_additional,Speaker_3,male,список,268.7535636732175,269.29790020671726,544.3365334997452,s1,ccv,spʲi,stressed,268.7535636732175,269.0614429906517,307.8793174341854,65.20401809604593,36.0497315719254,50.66353449163088,44.14180754971961,114.50364179250525,100.99162529050209,104.52671467899043,--undefined--,CS,NA,uninflected,spisok,list,Noun,1,m,2,no,na,yes,,,0.92208506165178306,-2.7567636153400605,-0.9137558314250126,-1.6655631423384096,-2.044203774999483,-0.9237385159534632,-0.7557766447506289,non_heavy
Speaker_3_male_additional,Speaker_3,male,список,268.7535636732175,269.29790020671726,544.3365334997452,s2,cvc,sək,unstressed,269.0614429906517,269.29790020671726,236.4572160655598,58.4679974667302,41.96310388267622,51.50328338157213,50.58121276727773,100.99162529050209,100.52637494130835,100.64047643714503,--undefined--,CS,NA,uninflected,spisok,list,Noun,1,m,2,no,na,yes,NA,NA,-0.019201616850721033,-2.612850739264161,-0.9815133878357868,-3.0058947512297065,-1.4151755540825066,-1.1258328140429559,-0.764565229863814,heavy
Speaker_3_male_additional,Speaker_3,male,қала,272.75283599384977,273.1839009636146,431.0649697648046,s1,cv,qɑ,NA,272.75283599384977,272.9853357095792,232.49971572943195,67.51414808616207,48.14754735792942,57.72235127664745,56.624533962685774,89.06207917063949,78.81825205712265,81.41916935604341,87.6890024344042,Kaz,NA,uninflected,qala,city,Noun,NA,NA,NA,NA,NA,NA,NA,NA,-0.07135833410187033,-1.547051238946642,-1.3166417865049607,-1.205894085963364,-0.7573124478600979,-1.304258680327418,-1.1746319518894264,non_heavy
Speaker_3_male_additional,Speaker_3,male,қала,272.75283599384977,273.1839009636146,431.0649697648046,s2,cv,lɑ,NA,272.9853357095792,273.1839009636145,198.56525403531572,66.20856323569157,58.314372611262414,63.904854389934194,64.97304453455818,102.24408266210821,78.82579172642116,87.17955407253557,85.19249240410585,Kaz,NA,uninflected,qala,city,Noun,NA,NA,NA,NA,NA,NA,NA,NA,-0.5185876387951748,-0.48751806773454165,-1.2162080075943456,-1.4656790152967807,0.32417196837579365,-1.1071002663611036,-1.1744895274388698,non_heavy
Speaker_3_male_additional,Speaker_3,male,звезда,276.4493942391445,276.91701626640247,467.6220272579599,s1,ccvc,zvʲɪz,unstressed,276.4493942391445,276.7330396011064,283.64536196187373,64.83605770081549,56.04103195929893,60.16357533957216,62.27377894909837,94.22728371264198,75.18362255931521,82.3459831686522,81.2207775775988,CS,NA,uninflected,zvezda,star,Noun,2,f,1,yes,backward,yes,NA,NA,0.6027007392026773,-1.1286838195318152,-1.3004825509455102,-1.7387798047698002,0.08234795481875386,-1.22700460161534,-1.2432901501083649,heavy
Speaker_3_male_additional,Speaker_3,male,звезда,276.4493942391445,276.91701626640247,467.6220272579599,s2,cv,da,stressed,276.7330396011064,276.91701626640247,183.9766652960861,68.86901257665832,55.275923094303344,63.45467361648237,67.25396706979463,98.11169093155377,71.97283351856342,89.09157336767285,91.42259839503683,CS,NA,uninflected,zvezda,star,Noun,2,f,1,yes,backward,yes,,,-0.7108536737514174,-0.5646682856598759,-1.1828714627953747,-0.9363035068500388,9.603737795903737e-4,-1.1689069408936144,-1.303941996612146,non_heavy
Speaker_3_male_additional,Speaker_3,male,сәби,279.9871225033269,280.49834278369656,511.2202803696846,s1,cv,sæ,NA,279.9871225033269,280.28498948523475,297.8669819078732,70.25577311861296,51.44978165788406,60.98782947113817,60.49490297006185,101.0246847648797,80.64621646244275,86.91194407741905,88.56140338853074,Kaz,NA,uninflected,sábi,child,Noun,NA,NA,NA,NA,NA,NA,NA,NA,0.7901304163666608,-0.9874263744646292,-1.220873856214986,-0.6603662598268135,-0.40604104846333955,-1.1253383555534655,-1.1401016806325237,non_heavy
Speaker_3_male_additional,Speaker_3,male,сәби,280.49834278369656,284.0416198438466,3543.2770601500465,s2,cv,bij,NA,280.28498948523475,280.4988647473387,213.8752621039544,65.48774234313203,57.72332913386696,61.57161460138817,62.03334484047263,99.43660043581093,72.78234800422548,86.86354265901188,86.46334175128938,Kaz,NA,uninflected,sábi,child,Noun,NA,NA,NA,NA,NA,NA,NA,NA,-0.3168138689589097,-0.8873795651017751,-1.2217177473081187,-1.6091077664561932,0.2613003939960234,-1.1490907531132595,-1.2886502575088299,non_heavy
Speaker_3_male_additional,Speaker_3,male,көмек,284.0416198438466,284.4881728295215,446.5529856748845,s1,cv,kɵ,NA,284.0416198438466,284.25090416750066,209.28432365406024,63.29329048390025,43.86139154923807,53.85957936132934,51.68135542443761,81.85853548904555,78.49035535058782,80.28769808522442,--undefined--,Kaz,NA,uninflected,kómek,help,Noun,NA,NA,NA,NA,NA,NA,NA,NA,-0.3773187984121422,-2.209037962141393,-1.3363692771240852,-2.045759218846032,-1.213247373183911,-1.4119994534291167,-1.1808259249164395,non_heavy
