file,time,word,vowel,stress,duration,F1,F2,F3,syllables,Language,WordForm,LatinScript,Gloss,VowelHeight,VowelBackness,Norm_F1,Norm_F2,Speaker,Gender
Speaker_1_male,492.3952110528721,апрельдің,ɪ,NA,0.04532068473741901,408.0423639421905,1322.5937423053042,2781.445784747915,s3,CS,inflected,aprel'diń,april.GEN,high,front,-0.4528741557500034,-0.3607216962108903,Speaker_1,male
Speaker_2_female,333.4948875042073,апрельдің,ɪ,NA,0.04841123361723021,463.13710147904095,668.2236871190479,2016.283932930428,s3,CS,inflected,aprel'diń,april.GEN,high,front,-0.6096573016087422,-1.6127725111747966,Speaker_2,female
Speaker_3_male,413.937820080654,апрельдің,ɪ,NA,0.0566129875969068,359.62953610576284,1461.5611821240843,2248.242059260585,s3,CS,inflected,aprel'diń,april.GEN,high,front,-0.8591917758973402,0.17271239644691758,Speaker_3,male
Speaker_4_female,409.8079064795635,апрельдің,ɪ,NA,0.06317428781574108,456.0016363121823,1778.239743466902,3176.5861486840713,s3,CS,inflected,aprel'diń,april.GEN,high,front,-0.6702055100439288,0.1465549178991443,Speaker_4,female
Speaker_1_male_additional,57.832372798829226,арқан,ɑ,NA,0.13049779546692264,661.4378908418547,1182.879834472272,2726.702154287599,s1,Kaz,uninflected,arqan,rope,non-high,back,1.8631746077277869,-0.6952852522263504,Speaker_1,male
Speaker_1_male_additional,58.12944300349311,арқан,ɑ,NA,0.07617390391441603,665.1205864928027,1156.959828335071,2407.6568423410777,s2,Kaz,uninflected,arqan,rope,non-high,back,1.8943727996758928,-0.7548579701438454,Speaker_1,male
Speaker_2_female_additional,142.48980208465326,арқан,ɑ,NA,0.15718254983266888,851.4198462387033,1115.490314224604,1732.20242675678,s1,Kaz,uninflected,arqan,rope,non-high,back,2.165421200734954,-0.520040852951536,Speaker_2,female
Speaker_2_female_additional,142.87223148693624,арқан,ɑ,NA,0.10626032869654978,826.313927531212,1343.2120042507931,1667.2079143505164,s2,Kaz,uninflected,arqan,rope,non-high,back,1.9871837956064833,-0.10044488791907888,Speaker_2,female
Speaker_3_male_additional,153.59882779062397,арқан,ɑ,NA,0.0988718133223756,765.8767830532933,1269.72798561562,2339.205919821322,s1,Kaz,uninflected,arqan,rope,non-high,back,2.5712312483370474,-0.3921239889340976,Speaker_3,male
Speaker_3_male_additional,153.88311958811872,арқан,ɑ,NA,0.0766900828159578,630.9242488976894,1192.7457445533832,2054.5731735212908,s2,Kaz,uninflected,arqan,rope,non-high,back,1.421493290686566,-0.6064837588387825,Speaker_3,male
Speaker_4_female_additional,321.18505308306044,арқан,ɑ,NA,0.1451788651315837,935.238035770583,1269.9278815967054,3143.0990801977796,s1,Kaz,uninflected,arqan,rope,non-high,back,1.638023560819047,-1.126555343604476,Speaker_4,female
Speaker_4_female_additional,321.5731738963515,арқан,ɑ,NA,0.11235315137849966,958.0815780551778,1577.550647939372,3121.982061803175,s2,Kaz,uninflected,arqan,rope,non-high,back,1.755193824626015,-0.45572832354710924,Speaker_4,female
Speaker_1_male,83.04685186372103,арқанның,ɑ,NA,0.11162935134760232,757.0968853451283,1105.345892570796,2851.585952687905,s1,Kaz,inflected,arqannyń,rope.GEN,non-high,back,1.8893675566281793,-0.9062924823255413,Speaker_1,male
Speaker_1_male,83.33515228692534,арқанның,ɑ,NA,0.0642394828702777,829.4066121747625,1389.737684052266,3365.7121565332277,s2,Kaz,inflected,arqannyń,rope.GEN,non-high,back,2.37458361316374,-0.19210427087621895,Speaker_1,male
Speaker_1_male,83.52328220104542,арқанның,ə,NA,0.0520033908949955,520.6789704189155,1186.3290290848415,3260.4216877229596,s3,Kaz,inflected,arqannyń,rope.GEN,non-high,back,0.30294518436381124,-0.7029209253504485,Speaker_1,male
Speaker_2_female,199.6006706381638,арқанның,ɑ,NA,0.10199904946239258,685.348923737862,919.7118516027336,1411.6455532981156,s1,Kaz,inflected,arqannyń,rope.GEN,non-high,back,0.7596728898186209,-1.123600190730729,Speaker_2,female
Speaker_2_female,199.9171980890268,арқанның,ɑ,NA,0.0971387408235671,828.1264146825907,1439.3164491679263,1638.7807362770093,s2,Kaz,inflected,arqannyń,rope.GEN,non-high,back,1.6395069464384544,-0.11291172661869331,Speaker_2,female
Speaker_2_female,200.0850024488447,арқанның,ə,NA,0.03909473812453257,674.3466868505265,1159.9576550870622,2246.6937159108397,s3,Kaz,inflected,arqannyń,rope.GEN,non-high,back,0.6918740887021049,-0.656295506994798,Speaker_2,female
Speaker_3_male,224.77362913279077,арқанның,ɑ,NA,0.09205315323347918,692.0893871211844,1113.9376783471623,2385.3801191208786,s1,Kaz,inflected,arqannyń,rope.GEN,non-high,back,1.8158352791858903,-0.8856977867694801,Speaker_3,male
Speaker_3_male,225.01816620764663,арқанның,ɑ,NA,0.07124215989284721,665.5311106072074,1163.3631573135935,2263.064128555112,s2,Kaz,inflected,arqannyń,rope.GEN,non-high,back,1.602142985231351,-0.7352119028173156,Speaker_3,male
Speaker_3_male,225.12634532178657,арқанның,ə,NA,0.0662836758194203,524.5633415072642,1156.5630100968176,2060.620060568549,s3,Kaz,inflected,arqannyń,rope.GEN,non-high,back,0.46789295448227847,-0.7559163286786492,Speaker_3,male
Speaker_4_female,441.5166793807085,арқанның,ɑ,NA,0.1468649907153008,886.6600253963179,1288.0591949803993,2509.004197156454,s1,Kaz,inflected,arqannyń,rope.GEN,non-high,back,1.3958984414146636,-0.9311015331014191,Speaker_4,female
Speaker_4_female,441.82838880945815,арқанның,ɑ,NA,0.0865213072258939,848.1932715680161,1410.177518684027,3026.1287775282804,s2,Kaz,inflected,arqannyń,rope.GEN,non-high,back,1.2113523740468402,-0.6626257648749424,Speaker_4,female
Speaker_4_female,442.0612944922136,арқанның,ə,NA,0.04968507837696734,717.9178027897049,1584.8486047461508,3867.060659460657,s3,Kaz,inflected,arqannyń,rope.GEN,non-high,back,0.5863496627484323,-0.2786133366394197,Speaker_4,female
Speaker_1_male_additional,236.64605936507644,аспан,ɑ,NA,0.16507478527736907,808.6839544612989,1040.8745531221098,2634.8197622087837,s1,Kaz,uninflected,aspan,sky,non-high,back,3.110579061370313,-1.021660196888353,Speaker_1,male
Speaker_1_male_additional,236.99339009116548,аспан,ɑ,NA,0.0929777876094704,587.4662728753593,1049.9694950833143,2579.625254118828,s2,Kaz,uninflected,aspan,sky,non-high,back,1.2365193109653063,-1.0007570223650564,Speaker_1,male
Speaker_2_female_additional,196.8571890748313,аспан,ɑ,NA,0.10137489720395364,804.9222170923932,1279.9505481430338,2587.2155488777066,s1,Kaz,uninflected,aspan,sky,non-high,back,1.8353151066213242,-0.2170093299001699,Speaker_2,female
Speaker_2_female_additional,197.20699504728196,аспан,ɑ,NA,0.08510485197368212,738.61843458405815,1260.5364103860568,1658.675528370495,s2,Kaz,uninflected,aspan,sky,non-high,back,1.3645968555914647,-0.2527814773248398,Speaker_2,female
Speaker_3_male_additional,230.50219559755763,аспан,ɑ,NA,0.10775595214391842,739.7992766994704,875.8224461893357,2501.8151822924365,s1,Kaz,uninflected,aspan,sky,non-high,back,2.349062030963987,-1.4889678795573282,Speaker_3,male
Speaker_3_male_additional,230.7862733552679,аспан,ɑ,NA,0.08744006492133849,679.2846799563181,853.8480558024669,2276.849337807727,s2,Kaz,uninflected,aspan,sky,non-high,back,1.8335035103118922,-1.5501563459117536,Speaker_3,male
Speaker_4_female_additional,221.029685776008,аспан,ɑ,NA,0.12640573601973415,914.008160557172,1520.469097770252,3185.8282850118344,s1,Kaz,uninflected,aspan,sky,non-high,back,1.5291302005707155,-0.5802049565852244,Speaker_4,female
Speaker_4_female_additional,221.3669763290508,аспан,ɑ,NA,0.11514185855264714,1012.3091482693426,1612.7514294283558,3157.5935542438715,s2,Kaz,uninflected,aspan,sky,non-high,back,2.0333406474105646,-0.3789666598032698,Speaker_4,female
Speaker_1_male,401.5359203825126,аспанның,ɑ,NA,0.08690481037484687,783.4215319735117,1149.2941301924818,2747.1714869575894,s1,Kaz,inflected,aspannyń,sky.GEN,non-high,back,2.066012411846767,-0.7959260295531985,Speaker_1,male
Speaker_1_male,401.83783107771137,аспанның,ɑ,NA,0.0714144123134588,742.9385225768448,1228.5484296986417,2292.7159692881023,s2,Kaz,inflected,aspannyń,sky.GEN,non-high,back,1.7943614592380976,-0.5968960712020228,Speaker_1,male
Speaker_1_male,402.029413972283,аспанның,ə,NA,0.04257397657147521,435.10253040395554,1073.7795068229675,2998.213075858154,s3,Kaz,inflected,aspannyń,sky.GEN,non-high,back,-0.2712937814981608,-0.9855646035837594,Speaker_1,male
Speaker_2_female,314.9144288752467,аспанның,ɑ,NA,0.11104369698188066,847.673402958262,1368.2944944788592,2552.6254104678105,s1,Kaz,inflected,aspannyń,sky.GEN,non-high,back,1.7599608490493488,-0.251057290840576,Speaker_2,female
Speaker_2_female,315.23387715792524,аспанның,ɑ,NA,0.09561231433332296,778.5955968595531,1248.6224118085518,1742.7756129347922,s2,Kaz,inflected,aspannyń,sky.GEN,non-high,back,1.3342844629462125,-0.48383273970670404,Speaker_2,female
Speaker_2_female,315.4636692928043,аспанның,ə,NA,0.03076134789199613,666.1117141647015,1290.3497299925084,1761.3661682322113,s3,Kaz,inflected,aspannyń,sky.GEN,non-high,back,0.6411279285309076,-0.40266848649478737,Speaker_2,female
Speaker_3_male,348.6957325318882,аспанның,ɑ,NA,0.06392061755445866,695.9846633084973,1048.8395359639796,2446.7129188485123,s1,Kaz,inflected,aspannyń,sky.GEN,non-high,back,1.8471773168973855,-1.0839022696603913,Speaker_3,male
